"","logFC","logCPM","LR","PValue","FDR"
"ENSG00000261490",-6.84192665936078,0.974226658100379,6.24701717838612,0.0124402622703881,1
"ENSG00000287855",-7.51259694367985,-0.763712301943432,6.1824217848751,0.0129025560790878,1
"ENSG00000145996",-1.79539145978266,4.65429068810272,6.15962546778109,0.0130698879605881,1
"ENSG00000275764",-7.1133650481648,-1.0993783573351,6.14314072587791,0.0131922795822911,1
"ENSG00000255565",-7.17019288216612,-1.05849290392216,6.13374316706588,0.0132625788612756,1
"ENSG00000280068",-7.24169327761212,-0.992684056714677,6.13062755557348,0.0132859703926891,1
"ENSG00000255236",-8.33218741870123,-0.0383549600580859,6.10464733760705,0.0134826852636277,1
"ENSG00000224973",-7.1231450140085,-1.09700853131267,6.08177117350694,0.0136583764518171,1
"ENSG00000258001",-7.50514790768335,-0.769699990754148,6.02516619278703,0.0141033037072387,1
"ENSG00000113356",-9.38164032800223,0.942082430356727,6.01854884090602,0.0141562821992457,1
"ENSG00000280426",-9.38164032800223,0.942082430356727,6.01854884090602,0.0141562821992457,1
"ENSG00000179930",-9.45043311945887,1.00288600847969,6.01327801361036,0.0141986269166205,1
"ENSG00000181450",-3.57747866091063,3.58004958668714,6.00834537658659,0.014238372753258,1
"ENSG00000136114",-6.92920520144483,-1.24946369578886,6.00760356572216,0.0142443599584104,1
"ENSG00000235700",-6.9398959470775,-1.24345034500302,6.00018625839842,0.0143043682048276,1
"ENSG00000257027",-6.95068617973727,-1.23528413118335,5.97920383822557,0.0144755353308955,1
"ENSG00000253731",-7.42479358162022,-0.847713331234613,5.93952107859827,0.0148050411074248,1
"ENSG00000259151",-9.32484308727721,0.887965012172039,5.93213278611388,0.0148672375350218,1
"ENSG00000179284",-6.9720695340442,-1.21906709641958,5.91206782351917,0.0150375103795209,1
"ENSG00000251664",-9.30819592335114,0.87212241325741,5.90696516469821,0.0150811313765674,1
"ENSG00000279221",-8.15732837210609,-0.196535605244799,5.90086670197905,0.0151334361759434,1
"ENSG00000257925",-8.13861806744364,-0.213352864987387,5.88042706633917,0.0153101077577621,1
"ENSG00000174469",-2.68518678402738,3.66107808590874,5.87479912110184,0.0153591253719654,1
"ENSG00000279041",-7.3510837630662,-0.900063008133046,5.87167828077959,0.015386376549433,1
"ENSG00000228021",-7.08410652850533,-1.1218332871296,5.86461275818075,0.0154482568809253,1
"ENSG00000235885",-6.89616286580644,-1.27422625995861,5.8411772807684,0.0156553482741555,1
"ENSG00000276644",-7.10406795590041,-1.11375097171949,5.83586741261252,0.0157026659596971,1
"ENSG00000262097",-9.25706978678005,0.823522802944066,5.83012683457141,0.0157539876310852,1
"ENSG00000165244",-6.83558566858123,0.976019289948698,5.82863051429323,0.0157673933470142,1
"ENSG00000214875",-7.04440478200719,-1.15408830970805,5.82287597561231,0.0158190585937143,1
"ENSG00000255045",-7.28453021106138,-0.955718352046219,5.80533057372069,0.0159776638317466,1
"ENSG00000286763",-9.23961699650126,0.806952022631581,5.804054063925,0.0159892668694725,1
"ENSG00000288531",-7.70877671785717,-0.593657218196834,5.80362256875766,0.0159931909767633,1
"ENSG00000167771",-9.20406489530185,0.773228036247083,5.75119032548121,0.0164774882614528,1
"ENSG00000204956",-7.55149386748549,-0.740235041398147,5.74360475356439,0.0165487951740886,1
"ENSG00000183098",-5.18196688017305,2.02358229698614,5.74351052369324,0.0165496829645545,1
"ENSG00000232709",-9.19503825898936,0.76467235137165,5.73782115854069,0.0166033766485479,1
"ENSG00000065609",-6.27041989106314,0.433454634125186,5.73522660904628,0.016627922456528,1
"ENSG00000274386",-7.97949825850317,-0.355468281611459,5.70736807339163,0.0168938493245736,1
"ENSG00000256969",-6.88455490154334,-1.28953373439239,5.70348719302106,0.0169312413034916,1
"ENSG00000154734",-1.39106220520792,5.71985352787454,5.70343025846569,0.0169317904984244,1
"ENSG00000183397",-6.91827280264703,-1.25547087515033,5.69585098316655,0.0170050650469469,1
"ENSG00000207088",-6.65291485332407,-1.46708069809487,5.6647730444016,0.0173089564463672,1
"ENSG00000129167",-7.93681591122426,-0.393302895522336,5.66118800984205,0.0173443708852737,1
"ENSG00000275910",-6.87364934620714,-1.29093191982205,5.65801077672273,0.0173758193880492,1
"ENSG00000267416",-6.87364934620714,-1.29093191982205,5.65801077672273,0.0173758193880492,1
"ENSG00000154016",-6.99310129053964,-1.19496196477197,5.65444238845577,0.0174112097379142,1
"ENSG00000168992",-6.62650033046162,-1.48602367264823,5.64032818807176,0.0175519213073254,1
"ENSG00000214140",-7.91499157159686,-0.412599819871909,5.63761594329122,0.0175790951964276,1
"ENSG00000239322",-7.27579819277555,-0.962497758868302,5.61442381915494,0.0178132369117417,1
"ENSG00000231952",-6.6534983309463,-1.46397442456721,5.60881760667053,0.0178703174048902,1
"ENSG00000134183",-7.07488204206406,-1.13838881773697,5.5904979780971,0.0180581616750942,1
"ENSG00000202533",-6.78001816086687,-1.36461596938911,5.57782489499809,0.0181892998616044,1
"ENSG00000198642",-1.47271127886016,5.32689104215875,5.56801914259303,0.0182914421300185,1
"ENSG00000187961",-6.47730050327073,2.09382361170686,5.56466457173584,0.0183265210646966,1
"ENSG00000129988",-9.14315679670517,0.709625698320761,5.55962530959668,0.0183793475364402,1
"ENSG00000263096",-9.07224290125931,0.648566528510146,5.55807751496844,0.0183956045825258,1
"ENSG00000242808",-6.16191600356126,1.22733896829109,5.55195224049691,0.0184600863747511,1
"ENSG00000007908",-9.06234957281168,0.639235768490467,5.543768348784,0.0185466040950735,1
"ENSG00000225632",-7.82423411092221,-0.49248409485879,5.53989259837115,0.0185877234366146,1
"ENSG00000268521",-6.64033352134065,-1.47337596526307,5.53625703689399,0.0186263801181822,1
"ENSG00000138346",-6.19167525419026,1.25659958340573,5.53445407429276,0.0186455816933946,1
"ENSG00000249899",-6.55685784488181,-1.54123515392358,5.46832976653564,0.0193641230453037,1
"ENSG00000287085",-8.9911286915294,0.572172998145271,5.44151636279971,0.0196635914287654,1
"ENSG00000231148",-7.09343860918882,-1.11258452300582,5.43563286980485,0.0197299399913176,1
"ENSG00000120436",-8.98066104461151,0.562332806896841,5.42660009341941,0.0198322540586086,1
"ENSG00000280265",-6.89597209474158,-1.27195941267261,5.42644103590835,0.0198340606068076,1
"ENSG00000223650",-7.82360876414597,-0.503962194441412,5.42295530422808,0.0198736937092698,1
"ENSG00000270804",-5.91453499097785,0.103725856372702,5.39451933549508,0.0202000884472419,1
"ENSG00000197808",-2.84341015760482,3.60142303823886,5.39262958596723,0.0202219749405009,1
"ENSG00000174358",-4.87006735971494,1.13355579628209,5.365002117391,0.0205447633222229,1
"ENSG00000274528",-6.49902133812675,-1.58494778701109,5.35921451520972,0.0206130560002491,1
"ENSG00000166402",-7.65021770866036,-0.643934689442177,5.35393727886085,0.0206755311763231,1
"ENSG00000230205",-6.8038963986209,-1.34455942438057,5.35143172111277,0.0207052620745913,1
"ENSG00000206159",-7.19632357001689,-1.02772671075368,5.2957882190231,0.0213770542505527,1
"ENSG00000164329",-1.64819280575259,4.86779407853881,5.29061823546878,0.0214406071905506,1
"ENSG00000286861",-6.59846293026099,-1.51183067874608,5.28951957232798,0.0214541378853194,1
"ENSG00000224977",-6.9288712563502,-1.24511781115452,5.27741241479512,0.0216038316542858,1
"ENSG00000255031",-7.56869591776104,-0.714065412102855,5.27336867176552,0.0216540693736492,1
"ENSG00000159873",-1.60262969395245,4.72409196010598,5.2373414055252,0.0221070329089313,1
"ENSG00000189212",-6.31127650410252,-1.7202561240601,5.23509232428552,0.0221356335906597,1
"ENSG00000257878",-6.65369708799353,-1.46089193805685,5.22840815810631,0.0222208599573402,1
"ENSG00000236643",-7.12205202805499,-1.08863025712868,5.22441492392309,0.0222719377716961,1
"ENSG00000158578",-8.89930020072121,0.479105244228361,5.21671327468551,0.0223707940816105,1
"ENSG00000156103",-8.80194502502819,0.395006530002478,5.19205588725838,0.022690358776946,1
"ENSG00000207650",-6.27808628268152,-1.74243449084281,5.17150445114855,0.0229603230809873,1
"ENSG00000273055",-6.32903321257303,-1.7047423311843,5.16855893363785,0.0229992873930798,1
"ENSG00000164236",-6.56044915875137,0.723476775556606,5.16406057309859,0.02305892556661,1
"ENSG00000267432",-6.54407689339275,-1.54408022909698,5.13790574695083,0.0234088704944748,1
"ENSG00000279786",-8.75357992243392,0.349953994017896,5.13623182184327,0.0234314538309271,1
"ENSG00000131931",-2.96645210782629,3.91376372476676,5.12403988150795,0.0235966213429513,1
"ENSG00000117525",-1.50258186102309,5.03452837764504,5.11474176191732,0.0237233967597843,1
"ENSG00000213390",-5.09157332582046,1.72363688552539,5.11408147784981,0.0237324262384321,1
"ENSG00000155974",-6.96167835349547,1.10878292030749,5.10928781765791,0.0237980871976397,1
"ENSG00000232928",-5.78799796744851,-0.0104448781435882,5.0810702928854,0.0241884339888865,1
"ENSG00000257443",-5.6873847802214,-0.100805066020568,5.05862314246088,0.024503697774515,1
"ENSG00000273302",-8.67784886016631,0.279619795208791,5.04938039657097,0.0246347460858138,1
"ENSG00000258954",-6.1700717149692,-1.82122194176006,5.04004872547415,0.0247677933468139,1
"ENSG00000258957",-6.29334705535543,-1.73603265251111,5.02599395207786,0.0249695901049859,1
"ENSG00000226779",-6.87309529504711,-1.28860431812358,4.99695650311019,0.025391931358894,1
"ENSG00000261273",-6.87309529504711,-1.28860431812358,4.99695650311019,0.025391931358894,1
"ENSG00000055957",-8.70500121022907,0.297074571840046,4.9904828088444,0.0254870965260948,1
"ENSG00000077800",-7.25793960468236,-0.976138481209528,4.9801982049141,0.0256390455853775,1
"ENSG00000177675",-5.724654939579,-0.0668228608483022,4.97825100979019,0.025667920042062,1
"ENSG00000251402",-6.1150450566742,-1.85676920269849,4.97633014429172,0.0256964371600931,1
"ENSG00000166455",-5.29697794735384,0.769855364646732,4.96534581773714,0.0258601436046256,1
"ENSG00000226314",-8.67264258278515,0.26691436985728,4.95397555792405,0.0260307434877163,1
"ENSG00000273004",-6.17206000240714,-1.81586925603685,4.94476655448818,0.0261697726833336,1
"ENSG00000283625",-8.58415791437113,0.192975605249052,4.94289280672145,0.0261981551733121,1
"ENSG00000178691",-4.38166245906056,1.70972033517394,4.92410368457238,0.0264845373433925,1
"ENSG00000229155",-7.18686168662566,-1.03482257179472,4.91371741458735,0.0266442385154933,1
"ENSG00000225978",-8.55623207083318,0.167232369780142,4.91136162127053,0.0266806006910102,1
"ENSG00000125851",-1.6670194731566,4.46229632815147,4.90717772091257,0.0267453073105288,1
"ENSG00000287963",-7.29573398076653,-0.958161787214851,4.90483204085583,0.0267816560594397,1
"ENSG00000143776",-2.11422478976707,3.9828471567877,4.89927947144603,0.0268679037093159,1
"ENSG00000164070",-1.84004429840278,4.07190296535631,4.89647988024162,0.0269114990048969,1
"ENSG00000161643",-8.54206376694255,0.154186240583272,4.89540120581627,0.0269283157680494,1
"ENSG00000040341",-1.58143816313871,5.2480751446841,4.89405036711423,0.0269493910401396,1
"ENSG00000119760",-1.48176524254951,5.59777666175772,4.86623217904406,0.0273872345042583,1
"ENSG00000121297",-3.87534483394565,1.27882517867652,4.86621370517676,0.0273875277184583,1
"ENSG00000207313",-6.40986779879643,-1.64285225279733,4.85744164758573,0.0275271259218145,1
"ENSG00000174788",-6.40986779879643,-1.64285225279733,4.85744164758573,0.0275271259218145,1
